"id","user_id","date","original_bill_number","internal_bill_number","amount","vat_code","client_details","system_details","created_at","updated_at","deleted_at"
793,1,"2018-01-31","2018-01-31-7","2018-01-31-7","-6,25",0,"Sumup-Kartenzahlungen (Rechnung)","5900 Fremdleistungen [EUR 6,25] <-- 1800 Bank [EUR 6,25]","2019-10-31 14:45:18","2019-10-31 14:45:18",NULL
792,1,"2018-12-31","2018-12-31-6","2018-12-31-6","419,30",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 419,30] <-- 1600 Kasse [EUR 419,30]","2019-10-31 14:42:07","2019-10-31 14:42:07",NULL
791,1,"2018-11-30","2018-11-30-3","2018-11-30-3","58,70",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 58,70] <-- 1600 Kasse [EUR 58,70]","2019-10-31 14:41:43","2019-10-31 14:41:43",NULL
790,1,"2018-10-31","2018-10-31-4","2018-10-31-4","262,20",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 262,20] <-- 1600 Kasse [EUR 262,20]","2019-10-31 14:41:13","2019-10-31 14:41:13",NULL
789,1,"2018-09-30","2018-09-30-5","2018-09-30-5","394,50",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 394,50] <-- 1600 Kasse [EUR 394,50]","2019-10-31 14:40:52","2019-10-31 14:40:52",NULL
788,1,"2018-08-31","2018-08-31-5","2018-08-31-5","230,20",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 230,20] <-- 1600 Kasse [EUR 230,20]","2019-10-31 14:40:31","2019-10-31 14:40:31",NULL
787,1,"2018-07-31","2018-07-31-7","2018-07-31-7","220,60",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 220,60] <-- 1600 Kasse [EUR 220,60]","2019-10-31 14:40:09","2019-10-31 14:40:09",NULL
786,1,"2018-06-30","2018-06-30-3","2018-06-30-3","162,60",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 162,60] <-- 1600 Kasse [EUR 162,60]","2019-10-31 14:39:36","2019-10-31 14:39:36",NULL
785,1,"2018-05-31","2018-05-31-3","2018-05-31-3","178,20",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 178,20] <-- 1600 Kasse [EUR 178,20]","2019-10-31 14:39:15","2019-10-31 14:39:15",NULL
784,1,"2018-04-30","2018-04-30-9","2018-04-30-9","311,50",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 311,50] <-- 1600 Kasse [EUR 311,50]","2019-10-31 14:38:43","2019-10-31 14:38:43",NULL
783,1,"2018-03-31","2018-03-31-7","2018-03-31-7","546,20",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 546,20] <-- 1600 Kasse [EUR 546,20]","2019-10-31 14:38:21","2019-10-31 14:38:21",NULL
782,1,"2018-02-28","2018-02-28-7","2018-02-28-7","507,00",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 507,00] <-- 1600 Kasse [EUR 507,00]","2019-10-31 14:37:54","2019-10-31 14:37:54",NULL
781,1,"2018-01-31","2018-01-31-6","2018-01-31-6","331,40",0,"Sumup-Kartenzahlungen (Umbuchen)","1800 Bank [EUR 331,40] <-- 1600 Kasse [EUR 331,40]","2019-10-31 14:37:26","2019-10-31 14:37:26",NULL
780,1,"2018-12-31","2018-12-31-5","2018-12-31-5","-33,75",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 33,75] <-- 1800 Bank [EUR 33,75]","2019-10-31 13:58:42","2019-10-31 13:58:42",NULL
779,1,"2018-10-31","2018-10-31-3","2018-10-31-3","-48,38",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 48,38] <-- 1800 Bank [EUR 48,38]","2019-10-31 13:58:16","2019-10-31 13:58:16",NULL
778,1,"2018-10-15","2018-10-15-6","2018-10-15-6","-48,21",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 48,21] <-- 1800 Bank [EUR 48,21]","2019-10-31 13:57:49","2019-10-31 13:57:49",NULL
777,1,"2018-09-15","2018-09-15-5","2018-09-15-5","-36,63",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 36,63] <-- 1800 Bank [EUR 36,63]","2019-10-31 13:57:22","2019-10-31 13:57:22",NULL
776,1,"2018-08-31","2018-08-31-4","2018-08-31-4","-25,57",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 25,57] <-- 1800 Bank [EUR 25,57]","2019-10-31 13:56:52","2019-10-31 13:56:52",NULL
775,1,"2018-07-31","2018-07-31-6","2018-07-31-6","-26,68",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 26,68] <-- 1800 Bank [EUR 26,68]","2019-10-31 13:56:28","2019-10-31 13:56:28",NULL
774,1,"2018-07-31","2018-07-31-5","2018-07-31-5","-30,62",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 30,62] <-- 1800 Bank [EUR 30,62]","2019-10-31 13:56:15","2019-10-31 13:56:15",NULL
773,1,"2018-04-30","2018-04-30-8","2018-04-30-8","-35,91",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 35,91] <-- 1800 Bank [EUR 35,91]","2019-10-31 13:55:46","2019-10-31 13:55:46",NULL
772,1,"2018-04-30","2018-04-30-7","2018-04-30-7","-24,62",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 24,62] <-- 1800 Bank [EUR 24,62]","2019-10-31 13:55:31","2019-10-31 13:55:31",NULL
771,1,"2018-03-15","2018-03-15-9","2018-03-15-9","-31,52",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 31,52] <-- 1800 Bank [EUR 31,52]","2019-10-31 13:54:53","2019-10-31 13:54:53",NULL
770,1,"2018-02-15","2018-02-15-6","2018-02-15-6","-34,53",0,"Benzin, privat / TotalCard","2100 Privatentnahmen allgemein [EUR 34,53] <-- 1800 Bank [EUR 34,53]","2019-10-31 13:54:27","2019-10-31 13:54:27",NULL
769,1,"2018-12-31","2018-12-31-4","2018-12-31-4","-4,49",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 3,64], 1406 [EUR 0,85] <-- 1800 Bank [EUR 4,49]","2019-10-31 13:53:05","2019-10-31 13:53:05",NULL
768,1,"2018-12-15","2018-12-15-4","2018-12-15-4","-7,86",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 6,37], 1406 [EUR 1,49] <-- 1800 Bank [EUR 7,86]","2019-10-31 13:52:40","2019-10-31 13:52:40",NULL
767,1,"2018-11-30","2018-11-30-2","2018-11-30-2","-3,37",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 2,73], 1406 [EUR 0,64] <-- 1800 Bank [EUR 3,37]","2019-10-31 13:52:13","2019-10-31 13:52:13",NULL
766,1,"2018-10-31","2018-10-31-2","2018-10-31-2","-6,74",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 5,46], 1406 [EUR 1,28] <-- 1800 Bank [EUR 6,74]","2019-10-31 13:51:48","2019-10-31 13:51:48",NULL
765,1,"2018-10-15","2018-10-15-5","2018-10-15-5","-9,73",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 7,88], 1406 [EUR 1,85] <-- 1800 Bank [EUR 9,73]","2019-10-31 13:51:30","2019-10-31 13:51:30",NULL
764,1,"2018-09-30","2018-09-30-4","2018-09-30-4","-4,49",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 3,64], 1406 [EUR 0,85] <-- 1800 Bank [EUR 4,49]","2019-10-31 13:51:04","2019-10-31 13:51:04",NULL
763,1,"2018-09-15","2018-09-15-4","2018-09-15-4","-23,58",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 19,10], 1406 [EUR 4,48] <-- 1800 Bank [EUR 23,58]","2019-10-31 13:50:30","2019-10-31 13:50:30",NULL
762,1,"2018-08-15","2018-08-15-5","2018-08-15-5","-10,11",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 8,19], 1406 [EUR 1,92] <-- 1800 Bank [EUR 10,11]","2019-10-31 13:49:54","2019-10-31 13:49:54",NULL
761,1,"2018-07-31","2018-07-31-4","2018-07-31-4","-12,35",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 10,00], 1406 [EUR 2,35] <-- 1800 Bank [EUR 12,35]","2019-10-31 13:49:28","2019-10-31 13:49:28",NULL
760,1,"2018-07-15","2018-07-15-2","2018-07-15-2","-4,49",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 3,64], 1406 [EUR 0,85] <-- 1800 Bank [EUR 4,49]","2019-10-31 13:48:57","2019-10-31 13:48:57",NULL
759,1,"2018-06-30","2018-06-30-2","2018-06-30-2","-13,49",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 10,93], 1406 [EUR 2,56] <-- 1800 Bank [EUR 13,49]","2019-10-31 13:48:29","2019-10-31 13:48:29",NULL
758,1,"2018-05-31","2018-05-31-2","2018-05-31-2","-3,37",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 2,73], 1406 [EUR 0,64] <-- 1800 Bank [EUR 3,37]","2019-10-31 13:48:03","2019-10-31 13:48:03",NULL
757,1,"2018-05-15","2018-05-15-2","2018-05-15-2","-7,86",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 6,37], 1406 [EUR 1,49] <-- 1800 Bank [EUR 7,86]","2019-10-31 13:47:36","2019-10-31 13:47:36",NULL
756,1,"2018-04-30","2018-04-30-6","2018-04-30-6","-13,48",9,"Taxiwäsche / TotalCard","5906 Fremdleistungen 19% Vorsteuer [EUR 10,92], 1406 [EUR 2,56] <-- 1800 Bank [EUR 13,48]","2019-10-31 13:47:07","2019-10-31 13:47:07",NULL
